Profiler sample vector full (4286 traces / 500000 samples), doubling the size
Profiler sample vector full (8601 traces / 1000000 samples), doubling the size

Number of samples:   10679
Sample interval:     0.001 seconds
Total sampling time: 10.679001 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "control-thread" waiting on: #<WAITQUEUE  {1001E08243}> {1001E02833}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10029EFDA3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" waiting on: #<WAITQUEUE  {1001E100E3}> {1001E08143}>
 #<SB-THREAD:THREAD "reader-thread" RUNNING {1001E08023}>
 #<SB-THREAD:THREAD "Swank Sentinel" waiting on: #<WAITQUEUE  {1005000003}> {1004FFC713}>
 #<SB-THREAD:THREAD "main thread" RUNNING {10005E8293}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10029F0003}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 180      9   0.1      9   0.1   9385  87.9        -  VARJO.INTERNALS::BARE-ID!
 181      8   0.1   4508  42.2   9393  88.0        -  VARJO.INTERNALS:TRY-COMPILE-ARG
 182      8   0.1    476   4.5   9401  88.0        -  SB-UNIX:UNIX-SIMPLE-POLL
 183      8   0.1    309   2.9   9409  88.1        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::POST-INITIALISE (V-CONTAINER))
 184      8   0.1    230   2.2   9417  88.2        -  FORMAT
 185      8   0.1    111   1.0   9425  88.3        -  CL-PPCRE::CONVERT
 186      8   0.1     51   0.5   9433  88.3        -  VARJO.INTERNALS:MAKE-TYPE-SET*
 187      8   0.1     44   0.4   9441  88.4        -  VARJO.INTERNALS::EXPAND-KEYWORD-TYPE-SPEC-SHORTHAND
 188      8   0.1     25   0.2   9449  88.5        -  SB-KERNEL:%MAKE-ARRAY
 189      8   0.1     16   0.1   9457  88.6        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 190      8   0.1     15   0.1   9465  88.6        -  INTERSECTION
 191      8   0.1     12   0.1   9473  88.7        -  SB-KERNEL:%RASSOC
 192      8   0.1     11   0.1   9481  88.8        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|) :IN "/Users/Baggers/.cache/common-lisp/sbcl-1.4.4-macosx-x64/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
 193      8   0.1      8   0.1   9489  88.9        -  "foreign function _platform_memcmp"
 194      8   0.1      8   0.1   9497  88.9        -  SB-KERNEL:%LAST1
 195      8   0.1      8   0.1   9505  89.0        -  SB-KERNEL:%SXHASH-SIMPLE-STRING
