           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 147      1   0.0      1   0.0  17742  99.8        -  (FLET #:WRAPPER179 :IN VARJO.INTERNALS:MERGE-COMPILED)
 148      1   0.0      1   0.0  17743  99.8        -  VARJO.INTERNALS:BUILD-FUNCTION
 149      1   0.0      1   0.0  17744  99.8        -  VARJO.INTERNALS::MAKE-USER-FUNCTION-OBJ
 150      1   0.0      1   0.0  17745  99.8        -  VARJO.INTERNALS::GEN-FUNCTION-TRANSFORM
 151      1   0.0      1   0.0  17746  99.8        -  SUBSEQ
 152      1   0.0      1   0.0  17747  99.8        -  SB-KERNEL:OUTPUT-OBJECT
 153      1   0.0      1   0.0  17748  99.8        -  SB-INT:MISC-INDEX
 154      1   0.0      1   0.0  17749  99.8        -  SB-THREAD:MAKE-MUTEX
 155      1   0.0      1   0.0  17750  99.8        -  COPY-LIST
 156      1   0.0      1   0.0  17751  99.8        -  SB-KERNEL:%%TYPEP
 157      1   0.0      1   0.0  17752  99.8        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
 158      1   0.0      1   0.0  17753  99.8        -  SB-KERNEL:%UNARY-TRUNCATE/SINGLE-FLOAT
 159      1   0.0      1   0.0  17754  99.8        -  TRUNCATE
 160      1   0.0      1   0.0  17755  99.8        -  "PPRINT-FUN-CALL-P"
 161      1   0.0      1   0.0  17756  99.8        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.|))
 162      1   0.0      1   0.0  17757  99.8        -  (LAMBDA (SB-PCL::.PV. SB-PCL::.NEXT-METHOD-CALL. SB-KERNEL:INSTANCE) :IN SB-PCL::MAKE-STD-READER-METHOD-FUNCTION)
 163      1   0.0      1   0.0  17758  99.8        -  SB-IMPL::%OUTPUT-REASONABLE-INTEGER-IN-BASE
 164      1   0.0      1   0.0  17759  99.9        -  SB-KERNEL:VECTOR-SUBSEQ*
 165      1   0.0      1   0.0  17760  99.9        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-SET T)
 166      1   0.0      1   0.0  17761  99.9        -  SB-IMPL::VECTOR-TO-LIST*
 167      1   0.0      1   0.0  17762  99.9        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
 168      1   0.0      1   0.0  17763  99.9        -  SB-C::PACKED-INFO-VALUE-INDEX
 169      1   0.0      1   0.0  17764  99.9        -  VARJO.INTERNALS::NORMALIZE-OUT-OF-SCOPE-ARGS
 170      1   0.0      1   0.0  17765  99.9        -  KEYWORDP
 171      1   0.0      1   0.0  17766  99.9        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.|) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
 172      1   0.0      1   0.0  17767  99.9        -  VARJO.INTERNALS::%MAKE-GLSL-CHUNK
 173      1   0.0      1   0.0  17768  99.9        -  (FLET #:WITHOUT-INTERRUPTS-BODY-387 :IN SB-THREAD::CALL-WITH-RECURSIVE-LOCK)
 174      1   0.0      1   0.0  17769  99.9        -  SB-IMPL::GET3
 175      1   0.0      1   0.0  17770  99.9        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
 176      1   0.0      1   0.0  17771  99.9        -  (LAMBDA (SB-PCL::METHOD-ARGS SB-PCL::NEXT-METHODS) :IN SB-PCL::METHOD-FUNCTION-FROM-FAST-FUNCTION)
 177      1   0.0      1   0.0  17772  99.9        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
 178      1   0.0      1   0.0  17773  99.9        -  VARJO.INTERNALS:JOIN-GLSL-CHUNKS
 179      1   0.0      1   0.0  17774  99.9        -  VARJO.INTERNALS::SPECIAL-ARG-MATCHP
 180      1   0.0      1   0.0  17775  99.9        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.|))
 181      1   0.0      1   0.0  17776  99.9        -  SB-KERNEL:%LAST1
 182      1   0.0      1   0.0  17777 100.0        -  "foreign function __nanosleep"
 183      1   0.0      1   0.0  17778 100.0        -  MAPCAR
 184      1   0.0      1   0.0  17779 100.0        -  (SB-PCL::FAST-METHOD SB-SEQUENCE:EMPTYP (VECTOR))
 185      1   0.0      1   0.0  17780 100.0        -  SB-C::CHECK-DS-LIST/&REST
 186      1   0.0      1   0.0  17781 100.0        -  "PPRINT-DATA-LIST-P"
 187      0   0.0  17776  99.9  17781 100.0        -  (FLET #:WITHOUT-INTERRUPTS-BODY-1139 :IN SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE)
 188      0   0.0  17776  99.9  17781 100.0        -  (FLET SB-THREAD::WITH-MUTEX-THUNK :IN SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE)
 189      0   0.0  17776  99.9  17781 100.0        -  (FLET #:WITHOUT-INTERRUPTS-BODY-359 :IN SB-THREAD::CALL-WITH-MUTEX)
 190      0   0.0  17776  99.9  17781 100.0        -  SB-THREAD::CALL-WITH-MUTEX
 191      0   0.0  17776  99.9  17781 100.0        -  SB-THREAD::INITIAL-THREAD-FUNCTION-TRAMPOLINE
 192      0   0.0  17776  99.9  17781 100.0        -  "foreign function call_into_lisp"
 193      0   0.0  17776  99.9  17781 100.0        -  "foreign function new_thread_trampoline"
 194      0   0.0  17772  99.9  17781 100.0        -  (SB-PCL::FAST-METHOD TRANSLATE (VARJO.INTERNALS:STAGE))
 195      0   0.0  17772  99.9  17781 100.0        -  SB-INT:SIMPLE-EVAL-IN-LEXENV
 196      0   0.0  17772  99.9  17781 100.0        -  SB-IMPL::SIMPLE-EVAL-PROGN-BODY
 197      0   0.0  17772  99.9  17781 100.0        -  EVAL
 198      0   0.0  17772  99.9  17781 100.0        -  SWANK::EVAL-REGION
 199      0   0.0  17772  99.9  17781 100.0        -  (LAMBDA NIL :IN SWANK-REPL::REPL-EVAL)
 200      0   0.0  17772  99.9  17781 100.0        -  SWANK-REPL::TRACK-PACKAGE
 201      0   0.0  17772  99.9  17781 100.0        -  SWANK::CALL-WITH-RETRY-RESTART
 202      0   0.0  17772  99.9  17781 100.0        -  SWANK::CALL-WITH-BUFFER-SYNTAX
 203      0   0.0  17772  99.9  17781 100.0        -  SWANK-REPL::REPL-EVAL
 204      0   0.0  17772  99.9  17781 100.0        -  SWANK:EVAL-FOR-EMACS
 205      0   0.0  17772  99.9  17781 100.0        -  SWANK::PROCESS-REQUESTS
 206      0   0.0  17772  99.9  17781 100.0        -  (LAMBDA NIL :IN SWANK::HANDLE-REQUESTS)
 207      0   0.0  17772  99.9  17781 100.0        -  SWANK/SBCL::CALL-WITH-BREAK-HOOK
